year,icd_main_category,icd_detail_category,gender,death_age,death_count
2018,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,60 - 64,11
2018,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,65 - 69,14
2018,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,70 - 74,13
2018,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,75 - 79,8
2018,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,80 - 84,5
2018,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,85 and Over,13
2018,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,20 - 29,1
2018,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,30 - 39,1
2018,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,40 - 49,12
2018,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,50 - 59,33
2018,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,60 - 64,14
2018,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,65 - 69,9
2018,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,70 - 74,14
2018,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,75 - 79,15
2018,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,80 - 84,14
2018,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,85 and Over,15
2018,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,30 - 39,1
2018,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,50 - 59,1
2018,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,60 - 64,1
2018,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,65 - 69,4
2018,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,70 - 74,4
2018,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,75 - 79,4
2018,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,80 - 84,6
2018,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,85 and Over,10
2018,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,05 - 09,3
2018,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,10 - 19,1
2018,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,20 - 29,1
2018,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,40 - 49,2
2018,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,50 - 59,7
2018,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,60 - 64,7
2018,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,65 - 69,4
2018,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,70 - 74,7
2018,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,75 - 79,2
2018,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,80 - 84,6
2018,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,85 and Over,9
2018,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,20 - 29,1
2018,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,30 - 39,4
2018,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,40 - 49,4
2018,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,50 - 59,11
2018,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,60 - 64,10
2018,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,65 - 69,11
2018,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,70 - 74,12
2018,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,75 - 79,10
2018,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,80 - 84,5
2018,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,85 and Over,6
2018,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,40 - 49,1
2018,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,50 - 59,2
2018,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,60 - 64,2
2018,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,65 - 69,6
2018,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,70 - 74,4
2018,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,75 - 79,3
2018,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,80 - 84,3
2018,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,85 and Over,4
2018,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,05 - 09,2
2018,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,10 - 19,2
2018,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,20 - 29,2
2018,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,30 - 39,3
2018,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,40 - 49,6
2018,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,50 - 59,6
2018,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,60 - 64,6
2018,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,65 - 69,7
2018,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,70 - 74,8
2018,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,75 - 79,8
2018,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,80 - 84,8
2018,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,85 and Over,6
2018,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,20 - 29,2
2018,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,30 - 39,5
2018,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,40 - 49,13
2018,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,50 - 59,32
2018,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,60 - 64,34
2018,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,65 - 69,25
2018,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,70 - 74,34
2018,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,75 - 79,39
2018,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,80 - 84,47
2018,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,85 and Over,64
2018,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,50 - 59,3
2018,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,60 - 64,4
2018,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,65 - 69,5
2018,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,70 - 74,8
2018,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,75 - 79,5
2018,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,80 - 84,6
2018,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,85 and Over,7
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)",1-049-Anaemias(D50-D64),F,03,1
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)",1-049-Anaemias(D50-D64),F,30 - 39,1
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)",1-049-Anaemias(D50-D64),F,50 - 59,1
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)",1-049-Anaemias(D50-D64),F,65 - 69,1
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)",1-049-Anaemias(D50-D64),F,70 - 74,1
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)",1-049-Anaemias(D50-D64),F,75 - 79,1
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)",1-049-Anaemias(D50-D64),F,80 - 84,1
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)",1-049-Anaemias(D50-D64),F,85 and Over,1
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)","1-050-Remainder of diseases of the blood and blood-forming		organs and certain disorders involving the immune mechanism(D65-D89)",F,05 - 09,1
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)","1-050-Remainder of diseases of the blood and blood-forming		organs and certain disorders involving the immune mechanism(D65-D89)",F,10 - 19,1
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)","1-050-Remainder of diseases of the blood and blood-forming		organs and certain disorders involving the immune mechanism(D65-D89)",F,40 - 49,2
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)","1-050-Remainder of diseases of the blood and blood-forming		organs and certain disorders involving the immune mechanism(D65-D89)",F,60 - 64,1
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)","1-050-Remainder of diseases of the blood and blood-forming		organs and certain disorders involving the immune mechanism(D65-D89)",F,65 - 69,2
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)","1-050-Remainder of diseases of the blood and blood-forming		organs and certain disorders involving the immune mechanism(D65-D89)",F,70 - 74,1
2018,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)","1-050-Remainder of diseases of the blood and blood-forming		organs and certain disorders involving the immune mechanism(D65-D89)",F,85 and Over,2
2018,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,30 - 39,1
2018,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,40 - 49,2
2018,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,50 - 59,7
2018,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,60 - 64,11
2018,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,65 - 69,15
2018,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,70 - 74,18
2018,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,75 - 79,23
2018,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,80 - 84,29
2018,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,85 and Over,49
2018,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)","1-054-Remainder of endocrine, nutritional and metabolic diseases",F,05 - 09,1
2018,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)","1-054-Remainder of endocrine, nutritional and metabolic diseases",F,30 - 39,1
2018,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)","1-054-Remainder of endocrine, nutritional and metabolic diseases",F,60 - 64,1
2018,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)","1-054-Remainder of endocrine, nutritional and metabolic diseases",F,70 - 74,1
2018,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)","1-054-Remainder of endocrine, nutritional and metabolic diseases",F,75 - 79,1
