ID,timestamp,Username,caption,no. of likes,no. of comments,comments,food,cuisine
10,25/06/2020,8days_eat,"now you can make hello kitty, my melody & little twin star chiffon cakes as pretty as deco chiffon cake specialist @susanne.decochiffon‘s. join her sanrio-approved online class — you can also buy kawaii sanrio baking equipment. click story link in our profile for price details (the url starting with “linkinprofile” below our logo). 📸 sanrio singapore .
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #chiffoncake #mymelody #hellokitty #littletwinstars #sanrio

https://bit.ly/37zwkxa",275,2,"['""Focus on the journey, not the destination. Joy is found not in finishing an activity but in doing it."" All my gratitude goes to you Sir Michael you are the main source of my joy today... I got my profit and this  is what I got from your amazing platform. From the bottom of my heart, I thank you, and appreciate all you have done. Your generosity has given me new hope! Once thanks Sir Michael @official_michael_d_daniels I highly recommend you to Sir Michael @official_michael_d_daniels', 'Thank you!💖💖💖']",,
11,25/06/2020,8days_eat,"this bread from @swissbakesg is specifically named ‘abend brot’ (evening bread) ’cos it’s low-carb and high-protein, and you can munch on it even at night without feeling jelak. (wheat, soy and lupine proteins are listed as ingredients, along with nutritious stuff like linseed, sunflower seed and wheat bran). we like its dense texture, and the melange of crunchy seeds and grains in it. delish when toasted and smeared with a dash of jam or cream cheese, or as an egg-and-avocado sandwich. 📷: @yipjieying_
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2",176,0,[],,
12,24/06/2020,8days_eat,"@marinabaysands is finally reopening its f&b outlets, albeit in phases. it’s also launching a new gourmet takeaway platform where you can tapow food (like @cutbywolfgangpucksg’s steaks) from its restaurants and pick up at the mall’s entrance. read more via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo).
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 bit.ly/37xubqt",164,2,"['Oh my that steak ! 😍', '🤤']",,
13,23/06/2020,8days_eat,"this flavourful grass-fed rib-eye steak with intense red wine sauce from culina bistro travelled surprisingly well via delivery to her home, says @flofongsg. the fine-fleshed rainbow trout, cooked in a sort of seafood stew, also arrived in good shape - it was super tasty (but watch out for the bones). she also liked the japanese pumpkin salad, a riot of  sweet, creamy, tangy flavours. but skip the grilled octopus unless you’re dining at the restaurant - ‘cos it didn’t travel well. overall a really yummy, hearty meal. .
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #stayhome #yummyinmytum #foodgasm #igfood #sgfood #steak #fish #ribeye #ribeyesteak #rainbowtrout #fish #pumpkin #salad #octopus #staysafe #kabochasquash",173,0,[],,
14,23/06/2020,8days_eat,"popular fishball noodles and herh keow eatery @songkee.eatinghouse opened a second outlet at jalan besar. read more via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo).
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 bit.ly/2ynjork",216,0,[],,
15,23/06/2020,8days_eat,"breaking news: nine-year-old french patisserie antoinette is closing down. its chef-owner pang kok keong will open a humble hakka noodle stall instead. it will also sell yong tau foo & fried fermented bean curd chicken wings. click story link in our profile for all the details (the url starting with “linkinprofile” below our logo). .
.
.
📸 pang kok keong & song seng wun .
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #antoinette #patisserie  #hakka #noodles 
https://bit.ly/2b34lw1",647,15,"['Omg @xin_yx', 'When is the last day?', '@carouselley 😭', 'noooo @euniceyll 😦😥', '@shhcherr my garlic breadddd 😭', '😢 Hang in there Chef Pang! Will continue to support you at @hakkapang 💪', 'wad a waste', 'I have no idea in trading but with the help of @official_michael_d_daniels I have 0.9btc in a week which is worth $8,670 thank you @official_michael_d_daniels', 'I buy old MAL🇲🇾 (coin$note)10,000myr per☝ SIN🇸🇬(coin$note)10,000sgd per☝\nOld BRU🇧🇳(coin$note)10,000bnd ☝\nI buy (Old coin)10k\n(Old notes) 10k\n(Duit lama)\n(Old Art Antiques) 20k\n(Jewellery Antiques) 20k\n(Collecting Antique Bottles) 20k\n(Old stamp)20k', 'We’re so gonna miss their macarons! :(', ""Omggg their cakes are really superb..there isn't any like them around in Singapore.. if have, can anyone tell me pls? I dont wanna wait till I have the chance to go to France to eat it...."", 'Oh!@alloutforchrist']",yong tau foo,Chinese
16,22/06/2020,8days_eat,"@chantalleng is now a boss — she recently started @yuancollagen, a chicken collagen soup delivery business, and tells us about her journey to becoming an entrepreneur (she says her soup is more ‘gao’ than the ones at hotpot restaurants). read more via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo).
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 bit.ly/2bqo0ne",224,4,"['Nice! Must try soon to support a fellow entrepreneur. Wishing you lots of success @chantailang from Chris #marieslapis', '😘🙏', 'So cute❤️']",,
17,22/06/2020,8days_eat,"delish brownies stuffed with goodies like peanut butter + jelly, nutella & ovomaltine. click story link in our profile for the details (the url starting with “linkinprofile” below our logo) .
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #baking #circuitbaker #pbandj #nutella #brownies 
https://bit.ly/314ewea",496,7,"['I buy old MAL🇲🇾(coin$note)10Kmyr per☝\nOld SIN🇸🇬(coin$note)10Ksgd per☝\nOld BRU🇧🇳(coin$note)10Kbnd per☝\nYA ALLAH Tembaga,☝☝✅🤙✅✅\nOld coin\nOld notes\nStamps \nDuit lama\nCincin\nStoke\nAtique\nRing............................🤝🤝💼💼💼💼💼', 'Oh WOW! How can we resist Nutella and peanut butter?', '😍😍😍', 'Oh wow!!!', '@eileenang', 'this looks an awful lot like @buttermilkpantry’s Backyard Bakers-inspired brownies.. hmm so much for “self-taught.” u could at least credit them for the free recipe 🤔', 'So interesting. This so cool for Halloween!']",,
18,22/06/2020,8days_eat,"this is the best banana cake we've had since the circuit breaker. click story link in our profile for the details (the url starting with “linkinprofile” below our logo) .
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #baking #circuitbaker #bananabread 
https://bit.ly/314ewea",499,0,[],,
19,22/06/2020,8days_eat,"heart-shaped pretzels from @auntieannesg 🥨❤️ the pretzel chain is offering a new heart2heart gift pack with four soft-baked pretzels and two dips (you can choose from seven types of pretzels like parmesan cheese and almond crunch, and three dips like chocolate and cheese). a card is included for you to write a message. takeaway or islandwide delivery via its official website available.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2",237,1,['❤️'],,
20,21/06/2020,8days_eat,"which celebs dined outside and which ones chose to makan at home during singapore's first phase 2 weekend? and which tv host 'chiong-ed' out for a super early prata breakfast on 19 june? click link in our profile (the url starting with ""linkinprofile"" below our logo) to read the full story.
.
.
.

https://bit.ly/2v83jiy",160,1,"['I buy old MAL🇲🇾(coin$note)10Kmyr per☝\nOld SIN🇸🇬(coin$note)10Ksgd per☝\nOld BRU🇧🇳(coin$note)10Kbnd per☝\nYA ALLAH Tembaga,☝☝✅🤙✅✅\nOld coin\nOld notes\nStamps \nDuit lama\nCincin\nStoke\nAtique\nRing🚀🚀🚀🚀................................🤝🤝🤝🤝🤝']",,
21,21/06/2020,8days_eat,"tapow feast from @fullertonhotelsg ”dine at home” delivery menu. @flofongsg thought the boston lobster with x.o. chilli noodles (by jade restaurant) was fantastic - robust & brimming with umami. worth ordering again. also good: the hainanese chicken rice, the bird tender & satiny; grains flavourful. the traditional roasted duck was well seasoned but needed a quick warm up in the oven so the skin crisps up again after delivery.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #stayhome #yummyinmytum #foodgasm #igfood #sgfood #duck #roastduck #lobster #lobsternoodles #chickenrice #staysafe",243,1,['Looks so good!! 😍😍'],hainanese chicken rice,Chinese
22,20/06/2020,8days_eat,"crowd situation at popular, daiso and the post office on day one and two of phase 2. it got so packed, daiso had to come up with a real-time crowd-tracking chart. read our field report via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo). bit.ly/2ygfuve",186,1,['@teo_ys lol'],,
23,20/06/2020,8days_eat,"superb meal from po restaurant. it’s been years since @flofongsg dined at the mod sin eatery & boy has its cooking improved. she loved almost everything that was delivered — especially the popiah platter, crammed with umami jicama root spiked with hae bee, crispy flat fish & sweet flower crabmeat. and also the carabinero prawn & kombu hokkien mee, brimming with wok hei & the heady juices of the crustacean. third fave: the paper-wrapped spring chicken, silky flesh hiding a heart of glutinous rice studded with mushrooms, chinese sausage & hae bee. still not too late to order in for father’s day, via @porestaurant’s website. .
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #popiah #hokkienmee #modsin #porestaurant",165,0,[],hokkien mee,Chinese
24,20/06/2020,8days_eat,"abalone rice dumpling, anyone? with the dragon boat festival just around the corner, actress @chenxiuhuan tries her hand at making her mum’s traditional hokkien bak chang from scratch and even luxes it up with abalone. she shares her atas bak chang and recipe with us, but is it worth making yourself? read more via link in our profile.
.
.
.
.
. 
#stayhomerecipes #stayhomeforsg #8dayseat #quarantinekitchen #covidcooking #sgfood #sghomecooking #quarantinerecipes #recipe #simplerecipes #easyrecipes #ricedumplings #bakzhang #hokkienbakzhang #dragonboatfestival #abalone

https://bit.ly/2ytcsfw",174,0,[],bak chang,Chinese
25,20/06/2020,8days_eat,"we at @8days_eat just got crowned by a king — @burgerkingsg, that is. the fast food chain sent us its social distancing crown, a wacky oversized cardboard hat the size of a  kiddie pool. its purpose: to have everyone keep 1m away from you while you dine out (don’t we all need this...). bk will be giving away a limited number of these crowns on june 24. and if you are enthu enough to wear it to any bk outlet from 11am, june 25-july 4, you get a 1-for-1 whopper deal. you can also use a diy crown — a how-to guide will be released on bk’s official website on june 22. hilarious.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 #burgerking",179,6,"['I want one!!😆', 'Haha great shot', 'Lol hilarious indeed!', ""@trixtang let's gooooo"", '😂', '@mrsjojo marketing case study #1']",,
26,19/06/2020,8days_eat,"phase 2 of the government’s post-circuit breaker plans is finally here — the 8days.sg team trawls f&b outlets island-wide to suss out where the crowds are at (hotpot, bubble tea, starbucks, oh my). read our comprehensive field report via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo).
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 bit.ly/2uwjb2v",176,0,[],,
27,19/06/2020,8days_eat,"the perfect last-minute stay-home gift for father’s day (so you can avoid the phase 2 crowds): cheese, which you drizzle with wine & pop into the oven till it’s molten & dreamy. plus fab lasagna + canele. and more wine. click link in our profile (the url starting with “linkinprofile” below our logo) for prices & more goodies. 📹 @flofongsg
. .
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #cheese #montdor #fondue #lasagna 
https://bit.ly/37fdodi",274,5,"['There’s still Mont d’Or in this season?', '@ethelchia', '@gregohreally @cottontreats', '@tifflohhh', '♥️ ♥️ ♥️ ♥️ ♥️']",,
28,19/06/2020,8days_eat,"got burning questions about the dos and don’ts of dining out in phase 2? here’s our faq guide to help you figure things out. read more via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo).
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg bit.ly/2yfbdil",139,1,['Very useful - thanks!!!'],,
29,18/06/2020,8days_eat,"phase 2, post-circuit breaker starts tomorrow, and restaurant booking platform @chopesg has already received “15,000 reservations” in a single day. say what? read more via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo).
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg bit.ly/30viato",48,0,[],,
30,18/06/2020,8days_eat,"@mcdsg is reopening for dine-in on june 19, but you’ll have to wait a little longer for its dessert kiosks to reopen. find out more (including its safe distancing measures) via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo).
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg bit.ly/3fdma1i",140,3,['Hi'],,
31,18/06/2020,8days_eat,"fancy a blue-and-white nonya bak chang that's both pretty & tasty? click link in our profile for more details (the url starting with “linkinprofile” below our logo) . 📸 @flofongsg .
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #bakchang #ricedumpling #dragonboatfestival

https://bit.ly/2ycchni",227,1,[],bak chang,Chinese
32,18/06/2020,8days_eat,"li nanxing, julie tan and constance song are collaborating with @tastegourmetmarket to make a celeb father’s day feast. if you’ve already ordered it (today is the last day you can do so), here’s a sneak peek at what it’s like. ah ge’s homely, delish abalone fish head claypot tastes even better the day after our delivery, paired with julie’s smoky chicken & seafood claypot rice and constance’s garlicky steamed prawns with lashings of ginger. ordering + delivery details via link in our bio (click on the url above the 8 days logo).
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg bit.ly/37fvfkt",230,1,['That looks so good!!'],,
33,17/06/2020,8days_eat,"sometimes, no-frills home-made bak chang is the most satisfying. we like this hokkien one stuffed with pork belly, shrooms & salted egg made by a home-based baker. click link in our profile for the full story (the url starting with “linkinprofile” below our logo) . 📹 @flofongsg .
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #bakchang #ricedumpling #dragonboatfestival 
https://bit.ly/2ycchni",273,0,[],bak chang,Chinese
34,16/06/2020,8days_eat,"dining out is great again, as singapore moves towards post-circuit breaker’s phase 2 on june 19. f&b outlets like steamboat chain haidilao are “almost fully booked”, like a number of other popular eateries we’ve enquired with, albeit with new safe distancing rules in place. see where everyone is heading to makan this weekend, via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo). photo: haidilao
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg bit.ly/3hx3pu3",178,6,"['@superbirdd  r u rdy?', '@tashbudiman Auntie, fully book ler! How? 🤣 (Toel @wgkr14)']",,
35,16/06/2020,8days_eat,"thunder tea rice might just be one of the most ancient veggie grain bowls ever. the nutrient-dense hakka dish was purportedly created during the warring three kingdoms period in china to nourish soldiers and keep them healthy. while assorted chopped veg, tofu & rice drenched in a tea and herb soup might not sound like the stuff of which foodie dreams are made, a well made bowl of thunder tea rice is a joy to eat. fresh, healthful and flavour-packed. click story link in our profile to find out where to get a great bowl. 📹@flofongsg .
.
.
.

https://bit.ly/2y4ldja",97,1,['There is a nice thunder tea rice near Pasir Ris Drive 6!'],,
36,16/06/2020,8days_eat,"for those of you who would rather not chiong with the crowds for dining-in when phase 2 starts this friday (june 19), you can still get your perennial favourites delivered. eateries like @sweechoon.sg dim sum are offering weekday special value meals (for 1 pax all the way to 4-5 pax) with 15% off. for instance, this family value set costs $67 (usual price $78.90) and feeds 5. it comes with 10 of swee choon’s greatest menu hits, like mee sua kueh, char siew bao, carrot cake and salted egg yolk custard bun, all packed neatly in boxes and sent to your home.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #circuitbreaker #sgunited #savefnbsg #dimsum #sweechoon",388,3,"['@superbirdd dim sum craving?', 'Thanks for the mention!🤗❤️']",kuih,
37,15/06/2020,8days_eat,"singapore’s post-circuit breaker timeline moves to phase 2 on june 19 (yay!), and f&b outlets are allowed to reopen for dine-in. but wait, don’t rush — there are still safety measures and new dining rules to adhere to for everyone. 10 f&b players tell us what to expect before you head out. read more via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo). photo: @imperialtreasuresg / @foodshopnetwork
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #circuitbreaker #sgunited #savefnbsg  bit.ly/2be8cie",180,3,"['😭🙌🏼', 'I liked your photos 💯 Greetings from other side of the world 👌😊', 'Thank you for the shoutout! 🙌 We think, F&Bs do not need them yet but in any case they do, then we are here. Cheers']",,
38,14/06/2020,8days_eat,"utterly delicious find: we’ve been hooked on this dairy-free cempedak cake with islandwide delivery from @ollella_singapore (feeds four to six pax). it’s fluffy and fragrant with pongy, juicy fresh cempedak slices baked into the cake. tip: heat it up it in your oven/ toaster oven for a bit before you dig in, for maximum shiokness. we got our cake sometime ago, when durian cempedaks (characterised by golden, flattish flesh) were in season. we have since found out from ollella’s owner that the type of cempedaks used for the cake vary according to the time of the year you order. currently, the shop is using cempedak nangka, which has plumper, heavier flesh and does not nestle as neatly in the sponge cake as durian cempedak does. 📷: @yipjieying_
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #circuitbreaker #sgunited #savefnbsg #ollella",329,3,"['Looks deliciously flavourful!', '♥️', 'Looks delicious 😍💯']",,
39,14/06/2020,8days_eat,"beautiful new pastries from dolcetto @regentsingapore regentsingapore. while the flower-shaped la sflogaliata al caramello is the prettiest with its petite dollops of choc, hazelnut & edible gold, the cruffin-like tortino in sfoglia filled with espresso ganache & sprinkled with amalfi lemon-scented sugar is @flofongsg’s absolute fave. its shatteringly crisp, feathery texture & unabashed butteriness are divine. the coffee-spiked chocolate filling is bittersweet, oozy and a lovely foil to the richness. give this a 4-5 min toast in the oven before devouring.",397,5,"['I don’t see these on the website? How do you order them?', '@superbirdd is it calling u?', ""My appreciation and gratitude to michelle for making me who I'm today I can say I'm leaving my dream life today. DM her @btrade_michelle_calil""]",,
40,13/06/2020,8days_eat,"for his career switch, finance grad-turned-hawker carmal ahmad travelled to japan to learn how to cook ramen, and now runs a ramen stall in tanjong pagar with his mum. read more via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo). photo: @nea_sg
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #circuitbreaker #sgunited #savefnbsg  #sghawkers bit.ly/2azqxld",227,2,"['We have dropped you a DM. Looking forward to your reply ❤️', '@jonngxw check this out 😋']",,
41,13/06/2020,8days_eat,"mostly sweet and a little bit salty — no, not your bf/gf but @benandjerrysg’s new collab flavour with @netflixsg called chip happens. it’s inspired by netflix’s amateur baking original reality series @nailedit (go watch it, it’s hilarious). and like the wacky, disaster-prone show, this flavour anyhow-ly combines choc ice cream, fudge chips and “potato chip swirls”. while we like the good quality choc ice cream enough, the salty chip swirls did not “nail it” (it tastes a little of stale grease). ben & jerry’s also sent us some surprisingly yummy bacon blondies by food instagrammer @chockywoky, along with a liquid cheesecake topping, to make our own dessert with the new ice cream. the result tastes better than it sounds.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #circuitbreaker #sgunited #savefnbsg #benandjerrys",268,1,[],,
