,timestamp,Username,caption,no. of likes,no. of comments,comments,food
11,25/6/2020,8days_eat,"This bread from @swissbakesg is specifically named ‘Abend Brot’ (evening bread) ’cos it’s low-carb and high-protein, and you can munch on it even at night without feeling jelak. (Wheat, soy and lupine proteins are listed as ingredients, along with nutritious stuff like linseed, sunflower seed and wheat bran). We like its dense texture, and the melange of crunchy seeds and grains in it. Delish when toasted and smeared with a dash of jam or cream cheese, or as an egg-and-avocado sandwich. 📷: @yipjieying_
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2",176,0,[],food 6
12,24/6/2020,8days_eat,"@marinabaysands is finally reopening its F&B outlets, albeit in phases. It’s also launching a new Gourmet Takeaway platform where you can tapow food (like @cutbywolfgangpucksg’s steaks) from its restaurants and pick up at the mall’s entrance. Read more via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo).
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 bit.ly/37XuBqt",164,2,"['Oh my that steak ! 😍', '🤤']",food 8
13,23/6/2020,8days_eat,"This flavourful grass-fed rib-eye steak with intense red wine sauce from Culina Bistro travelled surprisingly well via delivery to her home, says @flofongsg. The fine-fleshed rainbow trout, cooked in a sort of seafood stew, also arrived in good shape - it was super tasty (but watch out for the bones). She also liked the Japanese pumpkin salad, a riot of  sweet, creamy, tangy flavours. But skip the grilled octopus unless you’re dining at the restaurant - ‘cos it didn’t travel well. Overall a really yummy, hearty meal. .
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #stayhome #yummyinmytum #foodgasm #igfood #sgfood #steak #fish #ribeye #ribeyesteak #rainbowtrout #fish #pumpkin #salad #octopus #staysafe #kabochasquash",173,0,[],food 8
14,23/6/2020,8days_eat,"Popular fishball noodles and herh keow eatery @songkee.eatinghouse opened a second outlet at Jalan Besar. Read more via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo).
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 bit.ly/2YnJork",216,0,[],food 1
15,23/6/2020,8days_eat,"BREAKING NEWS: Nine-year-old French patisserie Antoinette is closing down. Its chef-owner Pang Kok Keong will open a humble Hakka noodle stall instead. It will also sell yong tau foo & fried fermented bean curd chicken wings. Click story link in our profile for all the details (the URL starting with “linkinprofile” below our logo). .
.
.
📸 Pang Kok Keong & Song Seng Wun .
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #antoinette #patisserie  #hakka #noodles 
https://bit.ly/2B34LW1",647,15,"['Omg @xin_yx', 'When is the last day?', '@carouselley 😭', 'noooo @euniceyll 😦😥', '@shhcherr my garlic breadddd 😭', '😢 Hang in there Chef Pang! Will continue to support you at @hakkapang 💪', 'wad a waste', 'I have no idea in trading but with the help of @official_michael_d_daniels I have 0.9btc in a week which is worth $8,670 thank you @official_michael_d_daniels', 'I buy old MAL🇲🇾 (coin$note)10,000myr per☝ SIN🇸🇬(coin$note)10,000sgd per☝\nOld BRU🇧🇳(coin$note)10,000bnd ☝\nI buy (Old coin)10k\n(Old notes) 10k\n(Duit lama)\n(Old Art Antiques) 20k\n(Jewellery Antiques) 20k\n(Collecting Antique Bottles) 20k\n(Old stamp)20k', 'We’re so gonna miss their macarons! :(', ""Omggg their cakes are really superb..there isn't any like them around in Singapore.. if have, can anyone tell me pls? I dont wanna wait till I have the chance to go to France to eat it...."", 'Oh!@alloutforchrist']",food 6
16,22/6/2020,8days_eat,"@chantalleng is now a boss — she recently started @yuancollagen, a chicken collagen soup delivery business, and tells us about her journey to becoming an entrepreneur (she says her soup is more ‘gao’ than the ones at hotpot restaurants). Read more via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo).
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 bit.ly/2BqO0nE",224,4,"['Nice! Must try soon to support a fellow entrepreneur. Wishing you lots of success @chantailang from Chris #marieslapis', '😘🙏', 'So cute❤️']",food 7
17,22/6/2020,8days_eat,"Delish brownies stuffed with goodies like peanut butter + jelly, nutella & Ovomaltine. Click story link in our profile for the details (the URL starting with “linkinprofile” below our logo) .
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #baking #circuitbaker #pbandj #nutella #brownies 
https://bit.ly/314eWEA",496,7,"['I buy old MAL🇲🇾(coin$note)10Kmyr per☝\nOld SIN🇸🇬(coin$note)10Ksgd per☝\nOld BRU🇧🇳(coin$note)10Kbnd per☝\nYA ALLAH Tembaga,☝☝✅🤙✅✅\nOld coin\nOld notes\nStamps \nDuit lama\nCincin\nStoke\nAtique\nRing............................🤝🤝💼💼💼💼💼', 'Oh WOW! How can we resist Nutella and peanut butter?', '😍😍😍', 'Oh wow!!!', '@eileenang', 'this looks an awful lot like @buttermilkpantry’s Backyard Bakers-inspired brownies.. hmm so much for “self-taught.” u could at least credit them for the free recipe 🤔', 'So interesting. This so cool for Halloween!']",food 7
18,22/6/2020,8days_eat,"This is the best banana cake we've had since the Circuit Breaker. Click story link in our profile for the details (the URL starting with “linkinprofile” below our logo) .
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #baking #circuitbaker #bananabread 
https://bit.ly/314eWEA",499,0,[],food 8
19,22/6/2020,8days_eat,"Heart-shaped pretzels from @auntieannesg 🥨❤️ The pretzel chain is offering a new Heart2Heart Gift Pack with four soft-baked pretzels and two dips (you can choose from seven types of pretzels like Parmesan Cheese and Almond Crunch, and three dips like chocolate and cheese). A card is included for you to write a message. Takeaway or islandwide delivery via its official website available.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2",237,1,['❤️'],food 1
20,21/6/2020,8days_eat,"Which celebs dined outside and which ones chose to makan at home during Singapore's first Phase 2 weekend? And which TV host 'chiong-ed' out for a super early prata breakfast on 19 June? Click link in our profile (the URL starting with ""linkinprofile"" below our logo) to read the full story.
.
.
.

https://bit.ly/2V83Jiy",160,1,"['I buy old MAL🇲🇾(coin$note)10Kmyr per☝\nOld SIN🇸🇬(coin$note)10Ksgd per☝\nOld BRU🇧🇳(coin$note)10Kbnd per☝\nYA ALLAH Tembaga,☝☝✅🤙✅✅\nOld coin\nOld notes\nStamps \nDuit lama\nCincin\nStoke\nAtique\nRing🚀🚀🚀🚀................................🤝🤝🤝🤝🤝']",food 5
21,21/6/2020,8days_eat,"Tapow feast from @fullertonhotelsg ”dine at home” delivery menu. @flofongsg thought the Boston Lobster with X.O. Chilli Noodles (by Jade Restaurant) was fantastic - robust & brimming with umami. Worth ordering again. Also good: the Hainanese Chicken Rice, the bird tender & satiny; grains flavourful. The Traditional Roasted Duck was well seasoned but needed a quick warm up in the oven so the skin crisps up again after delivery.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #stayhome #yummyinmytum #foodgasm #igfood #sgfood #duck #roastduck #lobster #lobsternoodles #chickenrice #staysafe",243,1,['Looks so good!! 😍😍'],food 9
22,20/6/2020,8days_eat,"Crowd situation at Popular, Daiso and the post office on Day One and Two of Phase 2. It got so packed, Daiso had to come up with a real-time crowd-tracking chart. Read our field report via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo). bit.ly/2YgfUvE",186,1,['@teo_ys lol'],food 8
23,20/6/2020,8days_eat,"Superb meal from Po Restaurant. It’s been years since @flofongsg dined at the mod Sin eatery & boy has its cooking improved. She loved almost everything that was delivered — especially the Popiah Platter, crammed with umami jicama root spiked with hae bee, crispy flat fish & sweet flower crabmeat. And also the Carabinero Prawn & Kombu Hokkien mee, brimming with wok hei & the heady juices of the crustacean. Third fave: the Paper-Wrapped Spring Chicken, silky flesh hiding a heart of glutinous rice studded with mushrooms, Chinese sausage & hae bee. Still not too late to order in for Father’s Day, via @porestaurant’s website. .
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #popiah #hokkienmee #modsin #porestaurant",165,0,[],food 9
24,20/6/2020,8days_eat,"Abalone rice dumpling, anyone? With the Dragon Boat Festival just around the corner, actress @chenxiuhuan tries her hand at making her mum’s traditional Hokkien bak chang from scratch and even luxes it up with abalone. She shares her atas bak chang and recipe with us, but is it worth making yourself? Read more via link in our profile.
.
.
.
.
. 
#stayhomerecipes #stayhomeforsg #8dayseat #quarantinekitchen #covidcooking #sgfood #sghomecooking #quarantinerecipes #recipe #simplerecipes #easyrecipes #ricedumplings #bakzhang #hokkienbakzhang #dragonboatfestival #abalone

https://bit.ly/2YTcSfW",174,0,[],food 4
25,20/6/2020,8days_eat,"We at @8days_eat just got crowned by a king — @burgerkingsg, that is. The fast food chain sent us its Social Distancing Crown, a wacky oversized cardboard hat the size of a  kiddie pool. Its purpose: to have everyone keep 1m away from you while you dine out (don’t we all need this...). BK will be giving away a limited number of these crowns on June 24. And if you are enthu enough to wear it to any BK outlet from 11am, June 25-July 4, you get a 1-for-1 Whopper deal. You can also use a DIY crown — a how-to guide will be released on BK’s official website on June 22. Hilarious.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 #burgerking",179,6,"['I want one!!😆', 'Haha great shot', 'Lol hilarious indeed!', ""@trixtang let's gooooo"", '😂', '@mrsjojo marketing case study #1']",food 3
26,19/6/2020,8days_eat,"Phase 2 of the government’s post-circuit breaker plans is finally here — the 8days.sg team trawls F&B outlets island-wide to suss out where the crowds are at (hotpot, bubble tea, Starbucks, oh my). Read our comprehensive field report via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo).
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 bit.ly/2UWJB2v",176,0,[],food 0
27,19/6/2020,8days_eat,"The perfect last-minute stay-home gift for Father’s Day (so you can avoid the Phase 2 crowds): cheese, which you drizzle with wine & pop into the oven till it’s molten & dreamy. Plus fab lasagna + canele. And more wine. Click link in our profile (the URL starting with “linkinprofile” below our logo) for prices & more goodies. 📹 @flofongsg
. .
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #cheese #montdor #fondue #lasagna 
https://bit.ly/37FDODI",274,5,"['There’s still Mont d’Or in this season?', '@ethelchia', '@gregohreally @cottontreats', '@tifflohhh', '♥️ ♥️ ♥️ ♥️ ♥️']",food 3
28,19/6/2020,8days_eat,"Got burning questions about the dos and don’ts of dining out in Phase 2? Here’s our FAQ guide to help you figure things out. Read more via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo).
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg bit.ly/2YfbDIL",139,1,['Very useful - thanks!!!'],food 5
29,18/6/2020,8days_eat,"Phase 2, post-circuit breaker starts tomorrow, and restaurant booking platform @chopesg has already received “15,000 reservations” in a single day. Say what? Read more via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo).
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg bit.ly/30ViatO",48,0,[],food 0
30,18/6/2020,8days_eat,"@mcdsg is reopening for dine-in on June 19, but you’ll have to wait a little longer for its Dessert Kiosks to reopen. Find out more (including its safe distancing measures) via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo).
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg bit.ly/3fDMa1I",140,3,['Hi'],food 2
31,18/6/2020,8days_eat,"Fancy a blue-and-white nonya bak chang that's both pretty & tasty? Click link in our profile for more details (the URL starting with “linkinprofile” below our logo) . 📸 @flofongsg .
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #bakchang #ricedumpling #dragonboatfestival

https://bit.ly/2YccHNI",227,1,[],food 3
32,18/6/2020,8days_eat,"Li Nanxing, Julie Tan and Constance Song are collaborating with @tastegourmetmarket to make a celeb Father’s Day feast. If you’ve already ordered it (today is the last day you can do so), here’s a sneak peek at what it’s like. Ah Ge’s homely, delish Abalone Fish Head Claypot tastes even better the day after our delivery, paired with Julie’s smoky Chicken & Seafood Claypot Rice and Constance’s garlicky Steamed Prawns with lashings of ginger. Ordering + delivery details via link in our bio (click on the URL above the 8 Days logo).
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg bit.ly/37FVFKT",230,1,['That looks so good!!'],food 8
33,17/6/2020,8days_eat,"Sometimes, no-frills home-made bak chang is the most satisfying. We like this Hokkien one stuffed with pork belly, shrooms & salted egg made by a home-based baker. Click link in our profile for the full story (the URL starting with “linkinprofile” below our logo) . 📹 @flofongsg .
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #bakchang #ricedumpling #dragonboatfestival 
https://bit.ly/2YccHNI",273,0,[],food 1
34,16/6/2020,8days_eat,"Dining out is great again, as Singapore moves towards post-circuit breaker’s Phase 2 on June 19. F&B outlets like steamboat chain Haidilao are “almost fully booked”, like a number of other popular eateries we’ve enquired with, albeit with new safe distancing rules in place. See where everyone is heading to makan this weekend, via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo). Photo: Haidilao
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg bit.ly/3hx3pU3",178,6,"['@superbirdd  r u rdy?', '@tashbudiman Auntie, fully book ler! How? 🤣 (Toel @wgkr14)']",food 3
35,16/6/2020,8days_eat,"Thunder tea rice might just be one of the most ancient veggie grain bowls ever. The nutrient-dense Hakka dish was purportedly created during the warring Three Kingdoms period in China to nourish soldiers and keep them healthy. While assorted chopped veg, tofu & rice drenched in a tea and herb soup might not sound like the stuff of which foodie dreams are made, a well made bowl of thunder tea rice is a joy to eat. Fresh, healthful and flavour-packed. Click story link in our profile to find out where to get a great bowl. 📹@flofongsg .
.
.
.

https://bit.ly/2Y4LDja",97,1,['There is a nice thunder tea rice near Pasir Ris Drive 6!'],food 3
36,16/6/2020,8days_eat,"For those of you who would rather not chiong with the crowds for dining-in when Phase 2 starts this Friday (June 19), you can still get your perennial favourites delivered. Eateries like @sweechoon.sg dim sum are offering weekday special value meals (for 1 pax all the way to 4-5 pax) with 15% off. For instance, this Family Value Set costs $67 (usual price $78.90) and feeds 5. It comes with 10 of Swee Choon’s greatest menu hits, like mee sua kueh, char siew bao, carrot cake and salted egg yolk custard bun, all packed neatly in boxes and sent to your home.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #circuitbreaker #sgunited #savefnbsg #dimsum #sweechoon",388,3,"['@superbirdd dim sum craving?', 'Thanks for the mention!🤗❤️']",food 3
37,15/6/2020,8days_eat,"Singapore’s post-circuit breaker timeline moves to Phase 2 on June 19 (yay!), and F&B outlets are allowed to reopen for dine-in. But wait, don’t rush — there are still safety measures and new dining rules to adhere to for everyone. 10 F&B players tell us what to expect before you head out. Read more via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo). Photo: @imperialtreasuresg / @foodshopnetwork
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #circuitbreaker #sgunited #savefnbsg  bit.ly/2Be8CiE",180,3,"['😭🙌🏼', 'I liked your photos 💯 Greetings from other side of the world 👌😊', 'Thank you for the shoutout! 🙌 We think, F&Bs do not need them yet but in any case they do, then we are here. Cheers']",food 7
38,14/6/2020,8days_eat,"Utterly delicious find: we’ve been hooked on this dairy-free cempedak cake with islandwide delivery from @ollella_singapore (feeds four to six pax). It’s fluffy and fragrant with pongy, juicy fresh cempedak slices baked into the cake. Tip: heat it up it in your oven/ toaster oven for a bit before you dig in, for maximum shiokness. We got our cake sometime ago, when durian cempedaks (characterised by golden, flattish flesh) were in season. We have since found out from Ollella’s owner that the type of cempedaks used for the cake vary according to the time of the year you order. Currently, the shop is using cempedak nangka, which has plumper, heavier flesh and does not nestle as neatly in the sponge cake as durian cempedak does. 📷: @yipjieying_
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #circuitbreaker #sgunited #savefnbsg #ollella",329,3,"['Looks deliciously flavourful!', '♥️', 'Looks delicious 😍💯']",food 0
39,14/6/2020,8days_eat,"Beautiful new pastries from Dolcetto @regentsingapore regentsingapore. While the flower-shaped La Sflogaliata Al Caramello is the prettiest with its petite dollops of choc, hazelnut & edible gold, the cruffin-like Tortino in Sfoglia filled with espresso ganache & sprinkled with Amalfi lemon-scented sugar is @flofongsg’s absolute fave. Its shatteringly crisp, feathery texture & unabashed butteriness are divine. The coffee-spiked chocolate filling is bittersweet, oozy and a lovely foil to the richness. Give this a 4-5 min toast in the oven before devouring.",397,5,"['I don’t see these on the website? How do you order them?', '@superbirdd is it calling u?', ""My appreciation and gratitude to michelle for making me who I'm today I can say I'm leaving my dream life today. DM her @btrade_michelle_calil""]",food 1
40,13/6/2020,8days_eat,"For his career switch, finance grad-turned-hawker Carmal Ahmad travelled to Japan to learn how to cook ramen, and now runs a ramen stall in Tanjong Pagar with his mum. Read more via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo). Photo: @nea_sg
.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #circuitbreaker #sgunited #savefnbsg  #sghawkers bit.ly/2AzQXlD",227,2,"['We have dropped you a DM. Looking forward to your reply ❤️', '@jonngxw check this out 😋']",food 9
